x,y
4394810.67304,20578839.436
4398569.77337,20578839.436
4402328.87371,20578839.436
4406087.97404,20578839.436
4409847.07437,20578839.436
4413606.1747,20578839.436
4417365.27504,20578839.436
4421124.37537,20578839.436
4424883.4757,20578839.436
4428642.57603,20578839.436
4432401.67636,20578839.436
4436160.7767,20578839.436
4439919.87703,20578839.436
4443678.97736,20578839.436
4447438.07769,20578839.436
4451197.17803,20578839.436
4454956.27836,20578839.436
4458715.37869,20578839.436
4462474.47902,20578839.436
4466233.57935,20578839.436
4469992.67969,20578839.436
4473751.78002,20578839.436
4477510.88035,20578839.436
4481269.98068,20578839.436
4485029.08102,20578839.436
4488788.18135,20578839.436
4492547.28168,20578839.436
4496306.38201,20578839.436
4500065.48234,20578839.436
4503824.58268,20578839.436
4507583.68301,20578839.436
4511342.78334,20578839.436
4515101.88367,20578839.436
4518860.984,20578839.436
4522620.08434,20578839.436
4526379.18467,20578839.436
4530138.285,20578839.436
4533897.38533,20578839.436
4537656.48567,20578839.436
4541415.586,20578839.436
4545174.68633,20578839.436
4548933.78666,20578839.436
4552692.88699,20578839.436
4571488.38866,20578839.436
4575247.48899,20578839.436
4579006.58932,20578839.436
4582765.68965,20578839.436
4586524.78998,20578839.436
4590283.89032,20578839.436
4594042.99065,20578839.436
4597802.09098,20578839.436
4601561.19131,20578839.436
4605320.29164,20578839.436
4609079.39198,20578839.436
4612838.49231,20578839.436
4616597.59264,20578839.436
4620356.69297,20578839.436
4624115.79331,20578839.436
4627874.89364,20578839.436
4631633.99397,20578839.436
4657947.6963,20578839.436
3996346.03783,20575080.3356
4000105.13816,20575080.3356
4003864.2385,20575080.3356
4007623.33883,20575080.3356
4011382.43916,20575080.3356
4015141.53949,20575080.3356
4018900.63983,20575080.3356
4022659.74016,20575080.3356
4026418.84049,20575080.3356
4030177.94082,20575080.3356
4033937.04115,20575080.3356
4037696.14149,20575080.3356
4041455.24182,20575080.3356
4045214.34215,20575080.3356
4048973.44248,20575080.3356
4052732.54281,20575080.3356
4056491.64315,20575080.3356
4060250.74348,20575080.3356
4064009.84381,20575080.3356
4067768.94414,20575080.3356
4071528.04448,20575080.3356
4075287.14481,20575080.3356
4079046.24514,20575080.3356
4082805.34547,20575080.3356
4086564.4458,20575080.3356
4090323.54614,20575080.3356
4094082.64647,20575080.3356
4097841.7468,20575080.3356
4101600.84713,20575080.3356
4105359.94747,20575080.3356
4109119.0478,20575080.3356
4112878.14813,20575080.3356
4116637.24846,20575080.3356
4120396.34879,20575080.3356
4124155.44913,20575080.3356
4127914.54946,20575080.3356
4131673.64979,20575080.3356
4135432.75012,20575080.3356
4139191.85045,20575080.3356
4142950.95079,20575080.3356
4146710.05112,20575080.3356
4150469.15145,20575080.3356
4154228.25178,20575080.3356
4157987.35212,20575080.3356
4161746.45245,20575080.3356
4165505.55278,20575080.3356
4169264.65311,20575080.3356
4173023.75344,20575080.3356
4176782.85378,20575080.3356
4180541.95411,20575080.3356
4184301.05444,20575080.3356
4188060.15477,20575080.3356
4191819.25511,20575080.3356
4195578.35544,20575080.3356
4199337.45577,20575080.3356
4203096.5561,20575080.3356
4206855.65643,20575080.3356
4210614.75677,20575080.3356
4214373.8571,20575080.3356
4218132.95743,20575080.3356
